20.00	-0.1
20.55	-0.1
21.11	-0.1
21.69	-0.1
22.29	-0.1
22.90	-0.1
23.53	0.0
24.18	0.0
24.84	0.0
25.52	0.1
26.22	0.2
26.94	0.2
27.68	0.3
28.44	0.4
29.22	0.4
30.03	0.5
30.85	0.6
31.70	0.7
32.57	0.8
33.46	0.8
34.38	0.9
35.33	1.0
36.30	1.0
37.29	1.1
38.32	1.1
39.37	1.2
40.45	1.2
41.56	1.2
42.70	1.3
43.87	1.3
45.08	1.3
46.32	1.3
47.59	1.3
48.90	1.3
50.24	1.3
51.62	1.3
53.03	1.2
54.49	1.2
55.99	1.2
57.52	1.2
59.10	1.2
60.73	1.2
62.39	1.3
64.11	1.3
65.87	1.4
67.68	1.5
69.54	1.6
71.44	1.6
73.41	1.7
75.42	1.7
77.49	1.8
79.62	1.7
81.81	1.7
84.05	1.7
86.36	1.6
88.73	1.5
91.17	1.5
93.67	1.5
96.25	1.6
98.89	1.7
101.60	1.9
104.39	2.0
107.26	2.2
110.21	2.4
113.23	2.4
116.34	2.5
119.54	2.4
122.82	2.3
126.19	2.1
129.66	2.0
133.22	1.9
136.87	1.9
140.63	1.8
144.50	1.8
148.46	1.7
152.54	1.6
156.73	1.4
161.03	1.2
165.45	1.1
170.00	1.0
174.67	0.9
179.46	1.0
184.39	1.0
189.45	1.0
194.65	1.0
200.00	0.9
205.49	0.9
211.13	0.8
216.93	0.9
222.89	0.9
229.01	1.0
235.30	1.2
241.76	1.3
248.40	1.3
255.22	1.2
262.23	1.1
269.43	1.0
276.83	0.8
284.43	0.6
292.24	0.5
300.26	0.5
308.51	0.5
316.98	0.5
325.68	0.6
334.63	0.7
343.81	0.8
353.26	0.8
362.96	0.7
372.92	0.7
383.16	0.7
393.68	0.7
404.49	0.8
415.60	0.8
427.01	0.8
438.74	0.8
450.79	0.9
463.17	0.9
475.88	1.0
488.95	1.0
502.38	1.0
516.17	1.0
530.35	1.0
544.91	0.9
559.87	0.8
575.25	0.7
591.04	0.7
607.27	0.6
623.95	0.5
641.08	0.4
658.68	0.3
676.77	0.3
695.35	0.3
714.45	0.3
734.07	0.2
754.22	0.2
774.94	0.1
796.21	0.0
818.08	-0.2
840.54	-0.3
863.62	-0.4
887.34	-0.4
911.70	-0.4
936.74	-0.3
962.46	-0.2
988.89	0.0
1016.04	0.0
1043.94	0.1
1072.61	0.1
1102.06	0.0
1132.33	-0.2
1163.42	-0.4
1195.37	-0.7
1228.19	-0.9
1261.91	-0.8
1296.57	-0.7
1332.17	-0.6
1368.75	-0.5
1406.34	-0.5
1444.95	-0.5
1484.63	-0.6
1525.40	-0.7
1567.28	-0.7
1610.32	-0.7
1654.54	-0.7
1699.97	-0.7
1746.65	-0.7
1794.61	-0.6
1843.89	-0.4
1894.53	-0.1
1946.55	0.4
2000.00	0.8
2054.92	0.9
2111.35	0.6
2169.32	0.2
2228.89	-0.3
2290.10	-0.5
2352.98	-0.5
2417.59	-0.4
2483.98	-0.2
2552.19	-0.3
2622.27	-0.3
2694.27	-0.5
2768.26	-0.5
2844.27	-0.5
2922.37	-0.4
3002.62	-0.3
3085.07	-0.2
3169.79	-0.3
3256.83	-0.4
3346.26	-0.5
3438.14	-0.5
3532.55	-0.5
3629.56	-0.2
3729.22	0.2
3831.62	0.9
3936.84	1.6
4044.94	2.2
4156.01	2.1
4270.14	1.4
4387.39	0.5
4507.87	-0.2
4631.65	-0.6
4758.83	-0.2
4889.51	0.7
5023.77	1.3
5161.72	1.6
5303.46	1.4
5449.09	0.9
5598.72	0.4
5752.46	0.1
5910.42	0.1
6072.72	0.0
6239.47	-0.4
6410.80	-0.9
6586.84	-0.7
6767.71	0.0
6953.55	0.6
7144.49	0.7
7340.67	0.5
7542.24	0.7
7749.35	1.5
7962.14	2.1
8180.78	1.8
8405.42	1.2
8636.23	1.4
8873.37	2.3
9117.03	2.6
9367.38	2.1
9624.61	1.7
9888.89	1.5
10160.44	1.6
10439.44	1.5
10726.10	1.6
11020.63	1.7
11323.25	1.8
11634.18	1.8
11953.65	1.5
12281.89	1.4
12619.15	1.3
12965.66	1.3
13321.69	1.2
13687.50	1.0
14063.35	1.3
14449.52	1.9
14846.30	1.4
15253.97	0.8
15672.84	1.0
16103.21	1.6
16545.39	1.0
16999.72	0.2
17466.52	-0.2
17946.14	0.1
18438.94	0.7
18945.26	1.6
19465.49	1.6
20000.00	2.4
